Gaussian stddev, weight by dist, Particle scatter factor, numParticles, resampling method, avgDist, stddevDist, avgAng, stddevAng, avgDistMax, stddevDistMax, avgAngMax, stddevAngMax
4.00E-01,1,5.00E-01,3000,stratified,3.32E+00,2.37E+00,-6.68E-01,1.51E+00,3.84E+00,2.49E+00,-4.70E-01,1.64E+00
4.00E-01,1,7.00E-01,7500,multinomial,3.16E+00,2.28E+00,-9.99E-01,1.27E+00,3.84E+00,2.38E+00,-5.62E-01,1.64E+00
5.00E-01,1,5.00E-01,10000,stratified,3.42E+00,2.39E+00,-7.67E-01,1.29E+00,3.84E+00,2.56E+00,-6.23E-01,1.53E+00
5.00E-01,1,7.00E-01,7500,residual,3.06E+00,2.24E+00,-9.85E-01,1.19E+00,3.85E+00,2.61E+00,-5.88E-01,1.64E+00
1.00E-01,1,5.00E-01,10000,residual,3.32E+00,2.41E+00,-7.48E-01,1.38E+00,3.85E+00,2.43E+00,-5.09E-01,1.53E+00
1.00E-01,1,5.00E-01,1000,residual,3.56E+00,2.45E+00,-5.27E-01,1.52E+00,3.85E+00,2.51E+00,-3.68E-01,1.65E+00
5.00E-01,1,9.00E-01,1000,residual,2.94E+00,2.21E+00,-1.16E+00,1.01E+00,3.85E+00,2.43E+00,-6.80E-01,1.62E+00
7.50E-01,1,7.00E-01,500,residual,3.13E+00,2.56E+00,-1.12E+00,1.12E+00,3.85E+00,2.63E+00,-6.20E-01,1.61E+00
2.00E-01,1,7.00E-01,500,systematic,3.30E+00,2.51E+00,-7.81E-01,1.40E+00,3.85E+00,2.58E+00,-6.62E-01,1.64E+00
3.00E-01,1,1.00E-01,1000,systematic,3.83E+00,1.84E+00,-5.89E-01,8.45E-01,3.85E+00,1.84E+00,-5.75E-01,8.63E-01
1.00E-01,1,5.00E-01,5000,systematic,3.37E+00,2.40E+00,-7.07E-01,1.41E+00,3.85E+00,2.44E+00,-3.75E-01,1.72E+00
3.00E-01,1,7.00E-01,5000,stratified,2.99E+00,2.16E+00,-1.06E+00,1.16E+00,3.85E+00,2.37E+00,-5.51E-01,1.58E+00
5.00E-01,1,5.00E-01,1000,residual,3.31E+00,2.37E+00,-6.72E-01,1.54E+00,3.85E+00,2.33E+00,-4.09E-01,1.73E+00
7.50E-01,1,1,5000,systematic,2.92E+00,2.16E+00,-9.78E-01,1.27E+00,3.85E+00,2.49E+00,-5.95E-01,1.56E+00
1.00E-01,1,9.00E-01,3000,residual,2.97E+00,2.19E+00,-9.67E-01,1.16E+00,3.85E+00,2.42E+00,-5.34E-01,1.64E+00
7.50E-01,1,9.00E-01,250,stratified,3.19E+00,2.14E+00,-1.02E+00,1.03E+00,3.85E+00,2.40E+00,-5.99E-01,1.53E+00
1.00E-01,1,1,1000,systematic,2.99E+00,2.35E+00,-9.93E-01,9.36E-01,3.85E+00,2.38E+00,-6.51E-01,1.34E+00
1,1,1.00E-01,1000,stratified,3.73E+00,2.28E+00,-1.13E+00,3.16E-01,3.86E+00,2.19E+00,-1.02E+00,5.90E-01
4.00E-01,1,5.00E-01,10000,residual,3.34E+00,2.41E+00,-7.43E-01,1.38E+00,3.86E+00,2.38E+00,-4.89E-01,1.58E+00
4.00E-01,1,1,250,systematic,3.12E+00,2.48E+00,-7.19E-01,1.56E+00,3.86E+00,2.58E+00,-6.35E-01,1.75E+00
1,1,5.00E-01,250,stratified,3.18E+00,2.47E+00,-1.06E+00,8.98E-01,3.86E+00,2.41E+00,-6.41E-01,1.32E+00
3.00E-01,1,1,7500,multinomial,3.02E+00,2.25E+00,-1.02E+00,1.21E+00,3.86E+00,2.54E+00,-7.07E-01,1.63E+00
2.00E-01,1,5.00E-01,7500,multinomial,3.33E+00,2.47E+00,-7.81E-01,1.28E+00,3.86E+00,2.53E+00,-5.37E-01,1.63E+00
3.00E-01,1,9.00E-01,250,multinomial,3.14E+00,2.52E+00,-9.61E-01,1.46E+00,3.86E+00,2.54E+00,-5.59E-01,1.76E+00
7.50E-01,1,9.00E-01,3000,stratified,2.99E+00,2.19E+00,-1.07E+00,1.21E+00,3.86E+00,2.67E+00,-6.44E-01,1.63E+00
7.50E-01,1,5.00E-01,3000,stratified,3.35E+00,2.44E+00,-8.20E-01,1.33E+00,3.86E+00,2.48E+00,-5.63E-01,1.51E+00
1.00E-01,1,5.00E-01,10000,multinomial,3.38E+00,2.41E+00,-6.71E-01,1.54E+00,3.86E+00,2.43E+00,-3.94E-01,1.61E+00
3.00E-01,1,9.00E-01,500,residual,2.98E+00,2.39E+00,-8.31E-01,1.36E+00,3.86E+00,2.53E+00,-5.86E-01,1.66E+00
2.00E-01,1,1,500,stratified,2.90E+00,1.87E+00,-1.14E+00,7.30E-01,3.86E+00,2.17E+00,-7.17E-01,1.29E+00
1.00E-01,1,5.00E-01,7500,multinomial,3.36E+00,2.41E+00,-7.50E-01,1.38E+00,3.86E+00,2.48E+00,-4.91E-01,1.53E+00
1.00E-01,1,5.00E-01,7500,systematic,3.41E+00,2.38E+00,-6.79E-01,1.50E+00,3.86E+00,2.56E+00,-5.22E-01,1.60E+00
4.00E-01,1,5.00E-01,5000,residual,3.36E+00,2.41E+00,-7.81E-01,1.35E+00,3.87E+00,2.55E+00,-4.69E-01,1.60E+00
4.00E-01,1,5.00E-01,5000,systematic,3.26E+00,2.29E+00,-7.83E-01,1.34E+00,3.87E+00,2.11E+00,-5.94E-01,1.48E+00
5.00E-01,1,5.00E-01,1000,stratified,3.31E+00,2.37E+00,-6.86E-01,1.46E+00,3.87E+00,2.34E+00,-6.17E-01,1.52E+00
4.00E-01,1,7.00E-01,500,stratified,3.27E+00,2.50E+00,-7.64E-01,1.31E+00,3.87E+00,2.50E+00,-4.66E-01,1.65E+00
1.00E-01,1,7.00E-01,3000,stratified,3.26E+00,2.40E+00,-6.55E-01,1.47E+00,3.87E+00,2.52E+00,-4.28E-01,1.66E+00
7.50E-01,1,9.00E-01,1000,stratified,3.07E+00,2.21E+00,-9.99E-01,1.23E+00,3.87E+00,2.60E+00,-6.85E-01,1.54E+00
4.00E-01,1,5.00E-01,3000,residual,3.41E+00,2.38E+00,-7.40E-01,1.37E+00,3.87E+00,2.48E+00,-4.74E-01,1.56E+00
4.00E-01,1,7.00E-01,5000,stratified,3.19E+00,2.23E+00,-9.69E-01,1.26E+00,3.87E+00,2.45E+00,-5.76E-01,1.59E+00
2.00E-01,1,7.00E-01,5000,residual,3.18E+00,2.32E+00,-9.91E-01,1.27E+00,3.87E+00,2.45E+00,-5.07E-01,1.63E+00
3.00E-01,1,5.00E-01,1000,residual,3.51E+00,2.35E+00,-5.54E-01,1.67E+00,3.87E+00,2.42E+00,-3.66E-01,1.82E+00
2.00E-01,1,9.00E-01,5000,residual,3.04E+00,2.22E+00,-1.01E+00,1.18E+00,3.88E+00,2.61E+00,-8.22E-01,1.59E+00
7.50E-01,1,5.00E-01,7500,multinomial,3.13E+00,2.20E+00,-9.38E-01,1.05E+00,3.88E+00,2.53E+00,-4.74E-01,1.58E+00
3.00E-01,1,7.00E-01,1000,residual,3.24E+00,2.22E+00,-9.40E-01,1.10E+00,3.88E+00,2.30E+00,-5.31E-01,1.55E+00
2.00E-01,1,5.00E-01,1000,residual,3.39E+00,2.34E+00,-6.49E-01,1.56E+00,3.88E+00,2.42E+00,-4.45E-01,1.68E+00
2.00E-01,1,1,500,residual,3.13E+00,2.61E+00,-1.16E+00,6.10E-01,3.88E+00,2.64E+00,-8.79E-01,1.23E+00
2.00E-01,1,5.00E-01,7500,systematic,3.32E+00,2.46E+00,-8.01E-01,1.35E+00,3.88E+00,2.53E+00,-5.23E-01,1.49E+00
5.00E-01,1,7.00E-01,10000,stratified,3.22E+00,2.32E+00,-9.72E-01,1.26E+00,3.88E+00,2.53E+00,-6.82E-01,1.62E+00
2.00E-01,1,5.00E-01,3000,systematic,3.30E+00,2.41E+00,-6.89E-01,1.54E+00,3.88E+00,2.39E+00,-4.45E-01,1.79E+00
2.00E-01,1,1,1000,multinomial,3.01E+00,2.36E+00,-6.93E-01,1.48E+00,3.88E+00,2.44E+00,-3.81E-01,1.73E+00
4.00E-01,1,7.00E-01,7500,residual,2.92E+00,2.10E+00,-9.84E-01,1.16E+00,3.88E+00,2.42E+00,-5.77E-01,1.56E+00
3.00E-01,1,7.00E-01,10000,stratified,3.12E+00,2.21E+00,-9.78E-01,1.22E+00,3.88E+00,2.70E+00,-6.64E-01,1.63E+00
7.50E-01,1,9.00E-01,3000,systematic,2.99E+00,2.22E+00,-9.41E-01,1.29E+00,3.88E+00,2.59E+00,-6.16E-01,1.63E+00
5.00E-01,1,7.00E-01,5000,residual,3.14E+00,2.34E+00,-9.59E-01,1.29E+00,3.88E+00,2.55E+00,-5.14E-01,1.70E+00
5.00E-01,1,5.00E-01,500,multinomial,3.53E+00,3.06E+00,-1.16E+00,6.50E-01,3.88E+00,3.06E+00,-1.03E+00,1.14E+00
4.00E-01,1,5.00E-01,7500,stratified,3.26E+00,2.33E+00,-9.57E-01,1.07E+00,3.89E+00,2.43E+00,-6.89E-01,1.52E+00
1.00E-01,1,5.00E-01,3000,stratified,3.37E+00,2.42E+00,-7.56E-01,1.39E+00,3.89E+00,2.44E+00,-5.40E-01,1.62E+00
1.00E-01,1,7.00E-01,1000,multinomial,3.57E+00,2.27E+00,-5.89E-01,1.46E+00,3.89E+00,2.34E+00,-5.16E-01,1.63E+00
4.00E-01,1,1,1000,residual,2.78E+00,2.18E+00,-1.22E+00,9.22E-01,3.89E+00,2.56E+00,-8.38E-01,1.50E+00
2.00E-01,1,7.00E-01,7500,stratified,3.09E+00,2.20E+00,-8.60E-01,1.29E+00,3.89E+00,2.39E+00,-4.72E-01,1.72E+00
5.00E-01,1,9.00E-01,7500,systematic,3.05E+00,2.18E+00,-9.90E-01,1.20E+00,3.89E+00,2.72E+00,-7.40E-01,1.68E+00
7.50E-01,1,7.00E-01,10000,systematic,3.07E+00,2.17E+00,-9.89E-01,1.21E+00,3.89E+00,2.38E+00,-5.25E-01,1.54E+00
3.00E-01,1,1,1000,residual,2.97E+00,1.92E+00,-1.22E+00,5.66E-01,3.89E+00,2.19E+00,-7.20E-01,1.35E+00
1.00E-01,1,9.00E-01,7500,residual,3.13E+00,2.31E+00,-1.01E+00,1.25E+00,3.89E+00,2.56E+00,-6.30E-01,1.67E+00
2.00E-01,1,1,1000,residual,3.01E+00,2.26E+00,-1.02E+00,1.25E+00,3.89E+00,2.57E+00,-5.48E-01,1.61E+00
7.50E-01,1,7.00E-01,7500,stratified,2.87E+00,2.05E+00,-1.06E+00,1.09E+00,3.89E+00,2.56E+00,-4.89E-01,1.66E+00
4.00E-01,1,9.00E-01,10000,residual,3.11E+00,2.30E+00,-9.76E-01,1.23E+00,3.89E+00,2.46E+00,-5.12E-01,1.73E+00
1.00E-01,1,9.00E-01,1000,residual,3.13E+00,2.36E+00,-9.22E-01,1.27E+00,3.89E+00,2.59E+00,-6.48E-01,1.58E+00
1,1,1,250,residual,2.88E+00,2.20E+00,-8.97E-01,1.30E+00,3.89E+00,2.42E+00,-4.17E-01,1.64E+00
4.00E-01,1,9.00E-01,250,residual,3.09E+00,2.39E+00,-8.97E-01,1.25E+00,3.89E+00,2.61E+00,-5.34E-01,1.63E+00
4.00E-01,1,7.00E-01,7500,systematic,2.96E+00,2.06E+00,-1.01E+00,9.96E-01,3.89E+00,2.54E+00,-4.40E-01,1.63E+00
4.00E-01,1,5.00E-01,10000,stratified,3.37E+00,2.37E+00,-7.50E-01,1.33E+00,3.89E+00,2.50E+00,-6.08E-01,1.57E+00
3.00E-01,1,1,7500,systematic,2.85E+00,2.10E+00,-1.08E+00,1.13E+00,3.89E+00,2.62E+00,-6.79E-01,1.52E+00
4.00E-01,1,9.00E-01,7500,systematic,2.91E+00,1.96E+00,-1.11E+00,1.12E+00,3.89E+00,2.27E+00,-4.84E-01,1.64E+00
1.00E-01,1,9.00E-01,10000,multinomial,3.12E+00,2.29E+00,-9.63E-01,1.26E+00,3.89E+00,2.50E+00,-8.40E-01,1.73E+00
1,1,7.00E-01,7500,multinomial,3.13E+00,2.22E+00,-9.74E-01,1.26E+00,3.89E+00,2.51E+00,-4.14E-01,1.70E+00
7.50E-01,1,5.00E-01,10000,multinomial,3.18E+00,2.22E+00,-9.55E-01,1.04E+00,3.89E+00,2.36E+00,-5.00E-01,1.46E+00
3.00E-01,1,5.00E-01,3000,stratified,3.45E+00,2.35E+00,-7.22E-01,1.38E+00,3.89E+00,2.42E+00,-3.79E-01,1.60E+00
4.00E-01,1,9.00E-01,3000,stratified,2.99E+00,2.20E+00,-1.03E+00,1.21E+00,3.90E+00,2.40E+00,-6.87E-01,1.54E+00
1.00E-01,1,7.00E-01,7500,systematic,3.26E+00,2.61E+00,-1.05E+00,1.20E+00,3.90E+00,2.65E+00,-7.83E-01,1.63E+00
4.00E-01,1,9.00E-01,500,stratified,3.15E+00,2.37E+00,-8.54E-01,1.43E+00,3.90E+00,2.53E+00,-6.72E-01,1.70E+00
5.00E-01,1,7.00E-01,3000,systematic,3.05E+00,2.08E+00,-1.00E+00,1.12E+00,3.90E+00,2.52E+00,-6.06E-01,1.68E+00
3.00E-01,1,9.00E-01,10000,multinomial,3.02E+00,2.18E+00,-1.06E+00,1.13E+00,3.90E+00,2.61E+00,-9.37E-01,1.47E+00
7.50E-01,1,7.00E-01,7500,systematic,3.05E+00,2.13E+00,-1.02E+00,1.17E+00,3.90E+00,2.50E+00,-5.28E-01,1.64E+00
3.00E-01,1,9.00E-01,250,systematic,3.19E+00,2.50E+00,-7.03E-01,1.44E+00,3.90E+00,2.55E+00,-4.68E-01,1.72E+00
5.00E-01,1,5.00E-01,5000,stratified,3.42E+00,2.33E+00,-6.77E-01,1.44E+00,3.90E+00,2.41E+00,-4.24E-01,1.65E+00
1,1,9.00E-01,500,stratified,2.88E+00,2.09E+00,-1.16E+00,1.04E+00,3.90E+00,2.65E+00,-8.36E-01,1.46E+00
4.00E-01,1,5.00E-01,10000,multinomial,3.42E+00,2.38E+00,-7.50E-01,1.33E+00,3.90E+00,2.47E+00,-4.75E-01,1.62E+00
1.00E-01,1,1,10000,stratified,3.05E+00,2.29E+00,-1.03E+00,1.20E+00,3.90E+00,2.61E+00,-6.51E-01,1.61E+00
4.00E-01,1,7.00E-01,250,multinomial,3.38E+00,2.82E+00,-1.14E+00,1.15E+00,3.90E+00,2.73E+00,-8.58E-01,1.51E+00
7.50E-01,1,9.00E-01,500,systematic,3.17E+00,2.27E+00,-1.03E+00,1.17E+00,3.90E+00,2.66E+00,-7.92E-01,1.57E+00
1,1,5.00E-01,1000,multinomial,3.23E+00,2.27E+00,-9.73E-01,1.02E+00,3.90E+00,2.33E+00,-5.33E-01,1.44E+00
7.50E-01,1,9.00E-01,5000,systematic,3.05E+00,2.36E+00,-1.03E+00,1.22E+00,3.90E+00,2.58E+00,-7.02E-01,1.50E+00
3.00E-01,1,1,3000,residual,2.92E+00,2.04E+00,-1.19E+00,9.53E-01,3.90E+00,2.55E+00,-7.69E-01,1.57E+00
7.50E-01,1,1,250,stratified,3.19E+00,2.46E+00,-1.11E+00,1.12E+00,3.90E+00,2.59E+00,-8.14E-01,1.55E+00
2.00E-01,1,9.00E-01,5000,stratified,2.96E+00,2.03E+00,-1.10E+00,1.04E+00,3.91E+00,2.56E+00,-5.20E-01,1.62E+00
3.00E-01,1,1,3000,multinomial,3.03E+00,2.34E+00,-1.03E+00,1.15E+00,3.91E+00,2.52E+00,-5.46E-01,1.59E+00
1,1,7.00E-01,7500,systematic,3.15E+00,2.31E+00,-9.68E-01,1.25E+00,3.91E+00,2.44E+00,-3.49E-01,1.76E+00
3.00E-01,1,7.00E-01,5000,multinomial,3.02E+00,2.09E+00,-9.81E-01,1.03E+00,3.91E+00,2.39E+00,-5.26E-01,1.59E+00
4.00E-01,1,9.00E-01,10000,systematic,3.06E+00,2.25E+00,-9.48E-01,1.28E+00,3.91E+00,2.57E+00,-6.16E-01,1.70E+00
7.50E-01,1,7.00E-01,3000,stratified,2.97E+00,2.09E+00,-9.78E-01,1.10E+00,3.91E+00,2.50E+00,-5.36E-01,1.65E+00
5.00E-01,1,1.00E-01,3000,stratified,3.84E+00,2.52E+00,-1.03E+00,2.85E-01,3.91E+00,2.47E+00,-9.93E-01,4.12E-01
5.00E-01,1,1,5000,stratified,3.09E+00,2.42E+00,-1.02E+00,1.18E+00,3.91E+00,2.59E+00,-5.08E-01,1.67E+00
1.00E-01,1,7.00E-01,10000,multinomial,3.14E+00,2.32E+00,-9.78E-01,1.28E+00,3.91E+00,2.43E+00,-4.21E-01,1.73E+00
7.50E-01,1,7.00E-01,10000,stratified,2.92E+00,2.08E+00,-1.05E+00,1.13E+00,3.91E+00,2.34E+00,-4.68E-01,1.64E+00
5.00E-01,1,5.00E-01,3000,residual,3.31E+00,2.38E+00,-7.39E-01,1.43E+00,3.91E+00,2.40E+00,-3.95E-01,1.63E+00
7.50E-01,1,5.00E-01,500,stratified,3.30E+00,2.47E+00,-8.28E-01,1.31E+00,3.91E+00,2.40E+00,-5.02E-01,1.62E+00
4.00E-01,1,7.00E-01,1000,systematic,3.18E+00,2.16E+00,-9.09E-01,1.20E+00,3.91E+00,2.56E+00,-4.88E-01,1.62E+00
1.00E-01,1,9.00E-01,10000,residual,3.04E+00,2.26E+00,-9.38E-01,1.33E+00,3.91E+00,2.47E+00,-3.85E-01,1.75E+00
3.00E-01,1,5.00E-01,250,systematic,3.58E+00,2.42E+00,-6.96E-01,1.42E+00,3.91E+00,2.40E+00,-4.46E-01,1.55E+00
4.00E-01,1,9.00E-01,3000,multinomial,3.11E+00,2.43E+00,-1.00E+00,1.22E+00,3.91E+00,2.68E+00,-7.04E-01,1.66E+00
3.00E-01,1,5.00E-01,500,residual,3.43E+00,2.53E+00,-9.27E-01,1.02E+00,3.91E+00,2.44E+00,-6.89E-01,1.44E+00
4.00E-01,1,1,5000,systematic,3.01E+00,2.12E+00,-9.53E-01,1.28E+00,3.91E+00,2.52E+00,-6.10E-01,1.68E+00
4.00E-01,1,5.00E-01,1000,stratified,3.52E+00,2.38E+00,-6.51E-01,1.41E+00,3.91E+00,2.47E+00,-3.20E-01,1.61E+00
3.00E-01,1,5.00E-01,5000,stratified,3.37E+00,2.36E+00,-6.34E-01,1.50E+00,3.91E+00,2.45E+00,-4.22E-01,1.59E+00
7.50E-01,1,1,7500,systematic,3.02E+00,2.35E+00,-1.03E+00,1.19E+00,3.92E+00,2.77E+00,-8.62E-01,1.50E+00
5.00E-01,1,5.00E-01,7500,residual,3.41E+00,2.46E+00,-7.31E-01,1.39E+00,3.92E+00,2.44E+00,-3.85E-01,1.62E+00
2.00E-01,1,7.00E-01,250,residual,3.47E+00,2.44E+00,-6.70E-01,1.46E+00,3.92E+00,2.39E+00,-4.31E-01,1.69E+00
3.00E-01,1,7.00E-01,5000,residual,3.15E+00,2.31E+00,-9.84E-01,1.25E+00,3.92E+00,2.53E+00,-5.43E-01,1.63E+00
4.00E-01,1,5.00E-01,1000,residual,3.58E+00,2.32E+00,-6.99E-01,1.34E+00,3.92E+00,2.35E+00,-3.44E-01,1.63E+00
1.00E-01,1,9.00E-01,5000,multinomial,3.11E+00,2.26E+00,-9.60E-01,1.30E+00,3.92E+00,2.77E+00,-7.11E-01,1.60E+00
3.00E-01,1,7.00E-01,10000,systematic,3.24E+00,2.44E+00,-9.59E-01,1.25E+00,3.92E+00,2.73E+00,-6.53E-01,1.63E+00
1,1,9.00E-01,500,systematic,3.10E+00,2.50E+00,-1.04E+00,1.16E+00,3.92E+00,2.74E+00,-7.97E-01,1.48E+00
3.00E-01,1,7.00E-01,10000,residual,2.99E+00,2.06E+00,-1.09E+00,1.08E+00,3.92E+00,2.58E+00,-5.17E-01,1.64E+00
7.50E-01,1,9.00E-01,3000,multinomial,3.10E+00,2.27E+00,-9.84E-01,1.26E+00,3.92E+00,2.72E+00,-7.26E-01,1.65E+00
3.00E-01,1,5.00E-01,10000,multinomial,3.43E+00,2.46E+00,-7.38E-01,1.37E+00,3.92E+00,2.55E+00,-6.08E-01,1.62E+00
2.00E-01,1,7.00E-01,10000,stratified,3.16E+00,2.13E+00,-1.01E+00,1.16E+00,3.92E+00,2.46E+00,-4.59E-01,1.67E+00
3.00E-01,1,9.00E-01,1000,multinomial,3.07E+00,2.44E+00,-7.58E-01,1.42E+00,3.92E+00,2.47E+00,-5.70E-01,1.64E+00
7.50E-01,1,9.00E-01,3000,residual,3.05E+00,2.40E+00,-1.04E+00,1.17E+00,3.92E+00,2.62E+00,-6.87E-01,1.58E+00
3.00E-01,1,5.00E-01,3000,residual,3.48E+00,2.34E+00,-5.91E-01,1.42E+00,3.92E+00,2.37E+00,-3.64E-01,1.66E+00
2.00E-01,1,7.00E-01,7500,residual,3.18E+00,2.31E+00,-8.47E-01,1.37E+00,3.92E+00,2.45E+00,-4.42E-01,1.57E+00
2.00E-01,1,9.00E-01,250,residual,3.29E+00,2.55E+00,-9.38E-01,1.28E+00,3.92E+00,2.56E+00,-6.50E-01,1.59E+00
3.00E-01,1,5.00E-01,1000,systematic,3.32E+00,2.43E+00,-7.55E-01,1.39E+00,3.92E+00,2.47E+00,-4.90E-01,1.65E+00
2.00E-01,1,1,5000,multinomial,3.08E+00,2.38E+00,-1.17E+00,1.01E+00,3.92E+00,2.77E+00,-8.93E-01,1.52E+00
3.00E-01,1,7.00E-01,500,stratified,3.17E+00,2.40E+00,-6.04E-01,1.46E+00,3.92E+00,2.36E+00,-3.68E-01,1.79E+00
3.00E-01,1,7.00E-01,3000,systematic,3.23E+00,2.42E+00,-7.06E-01,1.42E+00,3.92E+00,2.52E+00,-5.49E-01,1.70E+00
1,1,9.00E-01,250,stratified,2.79E+00,1.94E+00,-1.12E+00,1.00E+00,3.92E+00,2.34E+00,-7.08E-01,1.55E+00
7.50E-01,1,7.00E-01,250,stratified,3.29E+00,2.12E+00,-9.88E-01,9.98E-01,3.92E+00,2.27E+00,-6.12E-01,1.45E+00
2.00E-01,1,1,10000,systematic,3.09E+00,2.38E+00,-1.02E+00,1.18E+00,3.92E+00,2.69E+00,-7.23E-01,1.66E+00
3.00E-01,1,9.00E-01,7500,residual,3.18E+00,2.42E+00,-9.62E-01,1.23E+00,3.93E+00,2.72E+00,-6.75E-01,1.61E+00
4.00E-01,1,7.00E-01,1000,residual,3.25E+00,2.37E+00,-9.61E-01,1.26E+00,3.93E+00,2.55E+00,-6.07E-01,1.54E+00
7.50E-01,1,7.00E-01,1000,residual,3.21E+00,2.36E+00,-8.71E-01,1.37E+00,3.93E+00,2.40E+00,-4.45E-01,1.73E+00
5.00E-01,1,7.00E-01,10000,systematic,3.26E+00,2.37E+00,-9.55E-01,1.26E+00,3.93E+00,2.50E+00,-4.03E-01,1.66E+00
7.50E-01,1,5.00E-01,1000,residual,3.42E+00,2.39E+00,-9.24E-01,1.03E+00,3.93E+00,2.35E+00,-5.14E-01,1.43E+00
2.00E-01,1,9.00E-01,7500,stratified,3.11E+00,2.36E+00,-9.70E-01,1.25E+00,3.93E+00,2.57E+00,-6.16E-01,1.69E+00
3.00E-01,1,5.00E-01,7500,stratified,3.47E+00,2.35E+00,-6.30E-01,1.51E+00,3.93E+00,2.34E+00,-4.43E-01,1.75E+00
3.00E-01,1,1,250,multinomial,2.97E+00,2.32E+00,-9.85E-01,1.19E+00,3.93E+00,2.39E+00,-4.44E-01,1.64E+00
1.00E-01,1,7.00E-01,5000,multinomial,3.12E+00,2.22E+00,-9.49E-01,9.83E-01,3.93E+00,2.40E+00,-4.21E-01,1.56E+00
1,1,5.00E-01,5000,multinomial,3.11E+00,2.29E+00,-9.80E-01,1.02E+00,3.93E+00,2.46E+00,-3.70E-01,1.61E+00
5.00E-01,1,5.00E-01,3000,multinomial,3.46E+00,2.40E+00,-6.68E-01,1.43E+00,3.93E+00,2.52E+00,-6.20E-01,1.67E+00
3.00E-01,1,5.00E-01,7500,systematic,3.35E+00,2.39E+00,-7.48E-01,1.38E+00,3.93E+00,2.38E+00,-4.60E-01,1.66E+00
7.50E-01,1,7.00E-01,250,multinomial,3.32E+00,2.48E+00,-7.52E-01,1.32E+00,3.93E+00,2.58E+00,-4.87E-01,1.44E+00
2.00E-01,1,7.00E-01,10000,multinomial,2.98E+00,2.08E+00,-9.87E-01,1.11E+00,3.93E+00,2.42E+00,-4.06E-01,1.66E+00
4.00E-01,1,9.00E-01,500,multinomial,3.14E+00,2.32E+00,-1.03E+00,1.02E+00,3.93E+00,2.41E+00,-5.86E-01,1.48E+00
4.00E-01,1,7.00E-01,3000,multinomial,3.22E+00,2.31E+00,-8.18E-01,1.43E+00,3.93E+00,2.47E+00,-4.30E-01,1.68E+00
7.50E-01,1,7.00E-01,250,systematic,3.46E+00,2.39E+00,-6.24E-01,1.57E+00,3.93E+00,2.42E+00,-3.26E-01,1.75E+00
2.00E-01,1,9.00E-01,1000,systematic,3.14E+00,2.43E+00,-9.09E-01,1.35E+00,3.93E+00,2.69E+00,-7.93E-01,1.59E+00
7.50E-01,1,5.00E-01,5000,systematic,3.32E+00,2.46E+00,-7.67E-01,1.38E+00,3.93E+00,2.46E+00,-5.03E-01,1.64E+00
2.00E-01,1,5.00E-01,5000,residual,3.35E+00,2.33E+00,-6.66E-01,1.51E+00,3.93E+00,2.39E+00,-3.34E-01,1.61E+00
7.50E-01,1,7.00E-01,1000,multinomial,3.18E+00,2.33E+00,-9.45E-01,1.28E+00,3.94E+00,2.60E+00,-5.54E-01,1.64E+00
1.00E-01,1,9.00E-01,3000,multinomial,3.07E+00,2.27E+00,-1.01E+00,1.19E+00,3.94E+00,2.63E+00,-6.29E-01,1.65E+00
4.00E-01,1,7.00E-01,3000,residual,3.20E+00,2.50E+00,-9.99E-01,1.27E+00,3.94E+00,2.57E+00,-5.79E-01,1.55E+00
2,1,7.00E-01,250,systematic,2.91E+00,1.97E+00,-1.28E+00,9.34E-01,3.94E+00,2.32E+00,-5.19E-01,1.65E+00
4.00E-01,1,7.00E-01,1000,stratified,3.09E+00,2.51E+00,-9.27E-01,1.39E+00,3.94E+00,2.67E+00,-6.54E-01,1.60E+00
1,1,1,500,stratified,2.85E+00,2.27E+00,-1.21E+00,9.34E-01,3.94E+00,2.57E+00,-8.17E-01,1.55E+00
1.00E-01,1,9.00E-01,3000,stratified,3.02E+00,2.42E+00,-8.05E-01,1.45E+00,3.94E+00,2.53E+00,-5.69E-01,1.65E+00
2.00E-01,1,7.00E-01,7500,systematic,3.15E+00,2.31E+00,-9.71E-01,1.25E+00,3.94E+00,2.60E+00,-5.92E-01,1.52E+00
7.50E-01,1,7.00E-01,10000,residual,2.97E+00,2.13E+00,-1.01E+00,1.16E+00,3.94E+00,2.44E+00,-3.54E-01,1.61E+00
3.00E-01,1,7.00E-01,7500,multinomial,3.20E+00,2.30E+00,-8.45E-01,1.37E+00,3.94E+00,2.46E+00,-4.02E-01,1.68E+00
1,1,5.00E-01,5000,residual,3.13E+00,2.18E+00,-9.45E-01,1.09E+00,3.94E+00,2.29E+00,-4.45E-01,1.51E+00
3.00E-01,1,9.00E-01,5000,systematic,2.93E+00,2.10E+00,-9.19E-01,1.29E+00,3.94E+00,2.62E+00,-5.01E-01,1.65E+00
1.00E-01,1,1,500,systematic,3.21E+00,2.65E+00,-1.05E+00,1.26E+00,3.94E+00,2.60E+00,-7.24E-01,1.54E+00
7.50E-01,1,1,3000,multinomial,3.00E+00,2.27E+00,-1.03E+00,1.19E+00,3.94E+00,2.65E+00,-7.81E-01,1.64E+00
5.00E-01,1,7.00E-01,500,residual,3.32E+00,2.44E+00,-6.99E-01,1.43E+00,3.94E+00,2.52E+00,-3.62E-01,1.69E+00
